Subject,Intervention,Day,Trial,Timer,startTime,finishTime,Category,Position,Distance,Shot
1,0,1,1,7.05,7.685,8.722,B,2,5,0
1,0,1,1,7.05,8.79,9.419,A,1,5,0
1,0,1,1,7.05,9.47,13.006,B,2,5,1
1,0,1,1,7.05,13.074,15.947,C,3,7,0
1,0,1,1,7.05,15.981,17.834,D,4,9,0
1,0,1,1,7.05,17.868,18.769,C,3,7,0
1,0,1,1,7.05,18.837,20.333,D,4,9,0
1,0,1,2,3.58,4.331,4.654,B,1,7,0
1,0,1,2,3.58,4.756,4.943,C,2,5,0
1,0,1,2,3.58,5.038,6.024,B,1,7,0
1,0,1,2,3.58,6.347,6.585,D,4,7,0
1,0,1,2,3.58,6.67,6.925,A,3,9,0
1,0,1,2,3.58,6.959,7.248,A,3,9,0
1,0,1,2,3.58,7.316,7.503,C,2,5,0
1,0,1,2,3.58,7.962,8.693,C,2,5,0
1,0,1,2,3.58,8.778,9.407,B,1,7,0
1,0,1,2,3.58,9.475,12.994,C,2,5,0
1,0,1,3,4.11,4.31,4.667,B,1,9,0
1,0,1,3,4.11,4.733,4.937,D,2,9,0
1,0,1,3,4.11,5.056,6.042,C,3,5,0
1,0,1,3,4.11,6.688,7.504,A,4,7,0
1,0,1,3,4.11,7.776,8.694,A,5,7,0
1,0,1,3,4.11,8.779,9.408,C,3,5,0
1,0,1,3,4.11,9.476,12.995,A,4,7,1
1,0,1,3,4.11,13.063,15.919,C,3,5,0
1,0,1,3,4.11,16.004,17.823,A,4,7,0
1,0,1,4,8.39,8.763,9.409,A,3,7,0
1,0,1,4,8.39,9.477,12.996,B,4,5,0
1,0,1,4,8.39,13.064,14.22,B,4,5,1